altitude,humidity,id,latitude,longitude,pressure,temperature,time_humidity,time_pressure,time_temperature,timezone
189.0,55.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1013.5,23.1,2019-09-04 14:11:27,2019-09-04 14:11:42,2019-09-04 14:11:27,Europe/Moscow
189.0,56.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1013.4,22.5,2019-09-04 14:51:36,2019-09-04 14:51:58,2019-09-04 14:51:36,Europe/Moscow
189.0,57.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1013.5,21.9,2019-09-04 15:52:15,2019-09-04 15:52:20,2019-09-04 15:52:15,Europe/Moscow
189.0,59.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1014.3,21.1,2019-09-04 16:22:10,2019-09-04 16:22:33,2019-09-04 16:22:10,Europe/Moscow
189.0,62.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1014.0,20.0,2019-09-04 16:52:04,2019-09-04 16:52:45,2019-09-04 16:52:04,Europe/Moscow
189.0,65.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1014.4,19.7,2019-09-04 17:52:43,2019-09-04 17:53:07,2019-09-04 17:52:43,Europe/Moscow
189.0,66.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1014.4,19.6,2019-09-04 18:22:38,2019-09-04 18:23:19,2019-09-04 18:22:38,Europe/Moscow
189.0,67.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1013.8,19.5,2019-09-04 18:53:23,2019-09-04 18:53:31,2019-09-04 18:53:23,Europe/Moscow
189.0,68.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1014.5,19.2,2019-09-04 19:58:19,2019-09-04 19:58:29,2019-09-04 19:58:19,Europe/Moscow
189.0,68.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1014.8,19.2,2019-09-04 20:28:13,2019-09-04 20:28:40,2019-09-04 20:28:13,Europe/Moscow
189.0,68.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1014.9,19.4,2019-09-04 20:58:08,2019-09-04 20:58:51,2019-09-04 20:58:08,Europe/Moscow
189.0,70.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1014.7,18.8,2019-09-04 21:28:54,2019-09-04 21:29:03,2019-09-04 21:28:54,Europe/Moscow
189.0,72.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1014.8,18.5,2019-09-04 21:58:47,2019-09-04 21:59:13,2019-09-04 21:58:47,Europe/Moscow
189.0,74.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1014.9,18.0,2019-09-04 22:59:27,2019-09-04 22:59:35,2019-09-04 22:59:27,Europe/Moscow
189.0,76.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1015.0,17.5,2019-09-04 23:29:21,2019-09-04 23:29:45,2019-09-04 23:29:21,Europe/Moscow
189.0,77.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1014.7,17.3,2019-09-04 23:59:15,2019-09-04 23:59:56,2019-09-04 23:59:15,Europe/Moscow
189.0,78.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1015.4,17.1,2019-09-05 00:30:02,2019-09-05 00:30:09,2019-09-05 00:30:02,Europe/Moscow
189.0,79.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1015.5,17.1,2019-09-05 01:29:50,2019-09-05 01:30:31,2019-09-05 01:29:50,Europe/Moscow
189.0,79.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1015.6,17.0,2019-09-05 02:00:35,2019-09-05 02:00:42,2019-09-05 02:00:35,Europe/Moscow
189.0,80.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1015.8,16.7,2019-09-05 02:30:29,2019-09-05 02:30:52,2019-09-05 02:30:29,Europe/Moscow
189.0,80.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1015.9,16.4,2019-09-05 03:00:23,2019-09-05 03:01:04,2019-09-05 03:00:23,Europe/Moscow
189.0,81.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1016.1,16.3,2019-09-05 03:31:09,2019-09-05 03:31:16,2019-09-05 03:31:09,Europe/Moscow
189.0,81.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1016.2,16.2,2019-09-05 04:01:02,2019-09-05 04:01:26,2019-09-05 04:01:02,Europe/Moscow
189.0,81.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1015.9,16.1,2019-09-05 04:21:34,2019-09-05 04:21:36,2019-09-05 04:21:34,Europe/Moscow
189.0,82.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1016.5,16.0,2019-09-05 05:21:22,2019-09-05 05:21:59,2019-09-05 05:21:22,Europe/Moscow
189.0,83.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1016.6,16.2,2019-09-05 06:51:55,2019-09-05 06:52:33,2019-09-05 06:51:55,Europe/Moscow
189.0,83.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1016.7,16.5,2019-09-05 07:22:41,2019-09-05 07:22:45,2019-09-05 07:22:41,Europe/Moscow
189.0,82.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.4,17.1,2019-09-05 07:52:35,2019-09-05 07:52:57,2019-09-05 07:52:35,Europe/Moscow
189.0,81.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.6,17.9,2019-09-05 08:53:14,2019-09-05 08:53:18,2019-09-05 08:53:14,Europe/Moscow
189.0,81.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.7,17.9,2019-09-05 09:23:09,2019-09-05 09:23:29,2019-09-05 09:23:09,Europe/Moscow
189.0,81.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.6,18.2,2019-09-05 10:23:49,2019-09-05 10:23:51,2019-09-05 10:23:49,Europe/Moscow
189.0,80.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.7,19.1,2019-09-05 10:53:42,2019-09-05 10:54:02,2019-09-05 10:53:42,Europe/Moscow
189.0,79.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.6,19.4,2019-09-05 11:54:23,2019-09-05 11:54:25,2019-09-05 11:54:23,Europe/Moscow
189.0,78.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.7,19.0,2019-09-05 12:24:16,2019-09-05 12:24:37,2019-09-05 12:24:16,Europe/Moscow
189.0,78.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.4,19.0,2019-09-05 12:54:11,2019-09-05 12:54:50,2019-09-05 12:54:11,Europe/Moscow
189.0,77.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.6,19.2,2019-09-05 13:54:51,2019-09-05 13:55:12,2019-09-05 13:54:51,Europe/Moscow
189.0,77.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.7,18.9,2019-09-05 14:55:30,2019-09-05 14:55:34,2019-09-05 14:55:30,Europe/Moscow
189.0,76.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.1,18.6,2019-09-05 15:25:24,2019-09-05 15:25:45,2019-09-05 15:25:24,Europe/Moscow
189.0,77.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.6,17.7,2019-09-05 15:55:19,2019-09-05 15:55:56,2019-09-05 15:55:19,Europe/Moscow
189.0,78.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.4,17.1,2019-09-05 16:26:03,2019-09-05 16:26:06,2019-09-05 16:26:03,Europe/Moscow
189.0,78.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1018.0,16.6,2019-09-05 16:55:59,2019-09-05 16:56:19,2019-09-05 16:55:59,Europe/Moscow
189.0,78.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.9,16.2,2019-09-05 17:25:52,2019-09-05 17:26:30,2019-09-05 17:25:52,Europe/Moscow
189.0,78.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.7,16.0,2019-09-05 17:56:38,2019-09-05 17:56:41,2019-09-05 17:56:38,Europe/Moscow
189.0,78.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1018.2,16.0,2019-09-05 18:26:32,2019-09-05 18:26:52,2019-09-05 18:26:32,Europe/Moscow
189.0,78.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.6,15.7,2019-09-05 18:56:27,2019-09-05 18:57:03,2019-09-05 18:56:27,Europe/Moscow
189.0,78.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.8,15.4,2019-09-05 19:27:11,2019-09-05 19:27:13,2019-09-05 19:27:11,Europe/Moscow
189.0,79.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.1,15.2,2019-09-05 19:57:06,2019-09-05 19:57:24,2019-09-05 19:57:06,Europe/Moscow
189.0,79.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.2,15.5,2019-09-05 20:27:00,2019-09-05 20:27:34,2019-09-05 20:27:00,Europe/Moscow
189.0,79.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.6,15.6,2019-09-05 20:56:54,2019-09-05 20:57:44,2019-09-05 20:56:54,Europe/Moscow
189.0,79.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.6,15.7,2019-09-05 21:27:39,2019-09-05 21:27:55,2019-09-05 21:27:39,Europe/Moscow
189.0,79.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.5,15.8,2019-09-05 21:57:34,2019-09-05 21:58:07,2019-09-05 21:57:34,Europe/Moscow
189.0,79.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1016.9,15.4,2019-09-05 22:27:28,2019-09-05 22:28:18,2019-09-05 22:27:28,Europe/Moscow
189.0,79.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.0,15.2,2019-09-05 22:58:13,2019-09-05 22:58:27,2019-09-05 22:58:13,Europe/Moscow
189.0,80.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1016.9,15.3,2019-09-05 23:28:07,2019-09-05 23:28:39,2019-09-05 23:28:07,Europe/Moscow
189.0,80.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.5,15.3,2019-09-05 23:58:02,2019-09-05 23:58:50,2019-09-05 23:58:02,Europe/Moscow
189.0,80.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.5,15.3,2019-09-06 00:28:47,2019-09-06 00:29:00,2019-09-06 00:28:47,Europe/Moscow
189.0,81.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.4,15.4,2019-09-06 00:58:41,2019-09-06 00:59:11,2019-09-06 00:58:41,Europe/Moscow
189.0,81.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.1,15.2,2019-09-06 01:28:35,2019-09-06 01:29:22,2019-09-06 01:28:35,Europe/Moscow
189.0,81.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.1,14.7,2019-09-06 01:59:21,2019-09-06 01:59:34,2019-09-06 01:59:21,Europe/Moscow
189.0,82.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.1,14.4,2019-09-06 02:29:16,2019-09-06 02:29:44,2019-09-06 02:29:16,Europe/Moscow
189.0,82.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.2,14.2,2019-09-06 02:59:09,2019-09-06 02:59:53,2019-09-06 02:59:09,Europe/Moscow
189.0,82.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.5,14.2,2019-09-06 03:29:55,2019-09-06 03:30:04,2019-09-06 03:29:55,Europe/Moscow
189.0,83.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.4,14.4,2019-09-06 03:59:49,2019-09-06 04:00:15,2019-09-06 03:59:49,Europe/Moscow
189.0,83.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.5,14.9,2019-09-06 04:29:44,2019-09-06 04:30:25,2019-09-06 04:29:44,Europe/Moscow
189.0,82.0,70:ee:50:00:8e:1a,55.68316,37.56675999999993,1017.4,15.9,2019-09-06 05:00:28,2019-09-06 05:00:35,2019-09-06 05:00:28,Europe/Moscow
